,Symbol,Datetime,Interval,Expiry,Option_type,Strike,Underlying,Open,High,Low,Close,Volume,OI
0,NIFTY2531322950CE,2025-02-18T15:29:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
1,NIFTY2531322950CE,2025-02-18T15:28:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
2,NIFTY2531322950CE,2025-02-18T15:27:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
3,NIFTY2531322950CE,2025-02-18T15:26:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
4,NIFTY2531322950CE,2025-02-18T15:25:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
5,NIFTY2531322950CE,2025-02-18T15:24:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
6,NIFTY2531322950CE,2025-02-18T15:23:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
7,NIFTY2531322950CE,2025-02-18T15:22:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
8,NIFTY2531322950CE,2025-02-18T15:21:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
9,NIFTY2531322950CE,2025-02-18T15:20:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
10,NIFTY2531322950CE,2025-02-18T15:19:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
11,NIFTY2531322950CE,2025-02-18T15:18:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
12,NIFTY2531322950CE,2025-02-18T15:17:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
13,NIFTY2531322950CE,2025-02-18T15:16:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
14,NIFTY2531322950CE,2025-02-18T15:15:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
15,NIFTY2531322950CE,2025-02-18T15:14:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
16,NIFTY2531322950CE,2025-02-18T15:13:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
17,NIFTY2531322950CE,2025-02-18T15:12:00+05:30,1minute,2025-03-13,CE,22950.0,NIFTY,401.85,401.85,401.85,401.85,0,525
